favourite_count, up_count, category, comment_count, following_count, favourites_count, followers_count, subscribe_count, videos_count, vv_count, Popularity_rank
0,0,4,0,3,0,10,10,36,4037,1
0,0,4,0,0,0,0,0,0,9,1
0,0,6,0,6,0,0,0,4,310,1
0,1,7,0,2,1,2,2,108,7865,2
0,12,2,17,242,6,5888,5888,108,16049505,3
0,0,8,0,0,0,0,0,0,466,2
0,0,6,0,0,0,0,0,1,8,1
0,0,9,0,0,0,2,2,43,3448,2
0,0,2,0,13,0,14,14,117,15687,2
0,2,11,1,4,12,19031,19031,17302,17257076,2
0,1,17,0,0,0,0,0,1,19,1
0,0,14,1,0,0,39,39,235,29046,2
0,0,1,0,5,7,156,156,1118,444529,1
0,0,12,0,0,1,0,0,1,43,1
0,1,6,0,9,31,5,5,467,11648,1
0,1,17,0,1,0,2,2,26,630,1
0,1,5,0,3,0,0,0,0,8,1
0,0,4,0,0,0,0,0,1,364,2
0,4,2,2,40,11,1017,1017,154,1084706,2
0,1,12,0,0,0,312,312,0,275068,1
0,2,9,0,0,0,767,767,101,2241203,3
0,105,3,26,137,125,24009,24009,493,3105287,3
0,12,15,100,13,0,620,620,40,1275842,3
0,0,19,0,1,0,0,0,9,513,1
0,0,15,0,11,0,0,0,0,46,1
0,0,21,0,0,0,6,6,31,5369,1
0,0,21,0,0,0,0,0,1,13,1
0,0,21,0,0,1,0,0,4,251,1
0,0,2,1,29,241,187,187,422,39498,1
0,0,9,0,0,0,24,24,183,23553,1
0,0,4,0,0,1,0,0,59,922,1
0,0,4,0,0,0,0,0,10,12,1
0,0,10,0,131,11,321,321,464,140611,2
0,0,17,0,4,5,16,16,38,1472,1
0,1,9,0,53,2,0,0,28,868,1
0,0,6,0,0,0,0,0,2,34,1
0,4,3,2,7,0,1921,1921,637,2934618,3
0,0,17,0,0,0,0,0,1,21,1
0,1,22,0,0,0,0,0,6,48,1
0,0,1,0,0,0,0,0,8,350,1
0,0,21,0,0,3,1,1,28,538,1
0,0,5,2,33,3,2,2,14,610,1
0,0,18,0,2,0,5046,5046,79701,302812171,1
0,0,1,0,48,41,56,56,151,191285,2
0,0,21,0,5,14,0,0,32,127,1
0,0,4,0,4,5,0,0,15,196,1
0,0,3,0,0,0,11,11,72,4851,2
0,0,10,0,17,0,51,51,2387,15344,1
0,0,20,0,2,61,3,3,65,400,1
0,0,21,0,0,0,0,0,25,349,1
0,11,11,8,20,0,36275,36275,197,33324285,3
0,2,2,0,17,1,1,1,3,1451,2
0,0,15,0,18,216,30,30,29,50176,1
0,2,12,0,7,9,0,0,2,77,1
0,0,5,0,0,3,314,314,3,112125,1
0,0,22,0,0,0,0,0,5,15,1
0,0,19,0,0,0,0,0,1,6,1
0,0,1,0,9,0,1,1,10,475,1
0,2,8,0,0,0,0,0,3,328,2
0,0,16,0,21,43,2,2,7,571,1
0,1,10,0,12,8,27,27,13,82171,2
0,3,10,0,2,11,0,0,1,287,2
0,0,12,0,0,0,0,0,1,29,1
0,0,6,0,0,0,0,0,6,1056,1
0,10,11,1,1,1,293,293,154,85082,3
0,0,5,0,0,0,0,0,1,46,1
0,0,2,0,0,0,0,0,19,1391,1
0,0,13,0,0,0,0,0,9,131,1
0,0,14,0,0,0,0,0,7,78,1
0,4,4,1,14,1,5,5,27,1559,2
0,7,10,9,4,10,2712,2712,466,14090340,2
0,0,4,0,0,0,0,0,27,2906,1
0,1,6,2,24,8,44,44,51,12213,1
0,0,4,0,0,0,0,0,33,705,1
0,0,5,0,10,14,3,3,288,5890,1
0,3,8,0,0,0,1,1,16,2650,2
0,5,3,4,5,1,10005,10005,859,5331371,3
0,619,14,330,19,2,254085,254085,145,68723935,3
0,0,12,0,19,1,0,0,9,54,1
0,0,9,0,0,0,1,1,69,4272,1
0,0,10,0,0,0,0,0,2,11,1
0,1,17,0,0,0,0,0,8,7190,1
0,0,1,0,282,49,746,746,224,670258,1
0,6338,12,1098,0,0,123,123,105,1011805,3
0,0,6,0,3,58,8,8,15,6597,1
0,0,17,0,3,14,6,6,10,3053,2
0,0,12,0,49,4,4,4,16,373,1
0,46,20,57,49,13,52605,52605,4913,328491972,3
0,0,6,0,0,6,0,0,3,89,1
0,0,18,0,2,0,414,414,1142,4079914,1
0,0,23,0,11,42,27,27,100,16741,1
0,0,4,0,53,0,11,11,46,5544,2
0,2,19,1,0,0,0,0,1,56,1
0,4,6,2,79,30,8,8,54,7077,3
0,6,9,2,1,0,8846,8846,2264,38534291,2
0,0,14,0,28,69,8,8,67,47456,2
0,0,12,0,0,3,0,0,2,1464,1
0,0,9,0,0,0,0,0,115,1640,1
0,0,17,0,1,5,0,0,110,643,1
0,1,3,0,4,0,1777,1777,1118,10649193,2
0,0,1,0,18,2,18,18,144,24233,1
0,0,6,0,0,1,0,0,3,21,1
0,3,11,0,111,1,513,513,235,2328531,2
0,1,21,0,0,0,0,0,21,1580,1
0,0,8,0,8,9,8,8,14,21293,2
0,0,12,0,7,3,0,0,1481,45254,1
0,0,5,0,0,0,0,0,4,149,1
0,0,12,0,11,17,0,0,2,65,1
0,0,21,0,4,10,0,0,78,429,1
0,0,16,0,0,0,1,1,4,340,2
0,0,20,0,54,36,325,325,103,1281215,1
0,0,14,0,0,0,1,1,17,326,1
0,0,20,0,0,1,1,1,120,4797,1
0,0,22,0,2,1,1,1,167,2491,1
0,2,12,0,0,0,0,0,1,100,2
0,0,14,0,0,0,0,0,5,92,1
0,0,20,0,0,0,1,1,81,157,1
0,28,3,9,9,2,4888,4888,142,921036,2
0,0,2,0,0,0,0,0,1,117,2
0,0,13,0,0,0,1,1,16,1727,1
0,0,8,0,0,0,9,9,194,186708,2
0,0,16,0,0,0,0,0,1,12,1
0,0,4,0,0,0,0,0,5,195,1
0,1,22,3,1,0,549,549,7,814,1
0,0,4,0,0,0,0,0,1,15,1
0,0,16,0,110,0,620,620,985,10260228,1
0,65,3,57,6,1,27014,27014,1436,54690347,3
0,0,16,0,132,565,143,143,23,695,1
0,0,12,0,0,0,3,3,47,1954,1
0,1,16,0,32,122,115,115,466,166037,1
0,1,16,0,1,3,2,2,5,334,1
0,0,3,2,12,0,12,12,52,742,1
0,1,19,0,0,0,0,0,27,114,1
0,0,21,0,3,3,0,0,100,3747,1
0,1,8,0,8,0,0,0,6,802,2
0,2,2,0,47,1,686,686,1094,1292261,2
0,0,7,1,158,0,97,97,200,14700,2
0,1,21,0,0,0,0,0,3,368,1
0,0,20,1,11,30,118,118,439,23336,1
0,133,3,94,28,11,80027,80027,588,22853237,3
0,3,19,0,3,0,0,0,10,2708,2
0,0,12,1,19,3,13,13,9,604,1
0,1,20,0,103,8,88,88,430,32629,1
0,0,22,0,60,355,73,73,558,65801,1
0,0,15,0,17,34,365,365,664,2680745,1
0,0,13,0,0,0,0,0,6,62,1
0,0,20,0,67,50,17,17,232,5788,1
0,0,4,0,3,9,0,0,3,1143,1
0,0,6,0,0,0,0,0,5,71,1
0,1,5,1,0,0,0,0,1,36,1
0,2,6,0,4,0,0,0,2,255,2
0,0,6,0,42,24,48,48,156,20201,1
0,0,17,0,5,25,4,4,50,35038,1
0,31,11,1,20,7,763721,763721,44303,1660955344,3
0,383,7,78,0,0,239809,239809,156,99805245,3
0,0,14,0,1,0,6,6,10,5096,2
0,2,1,0,0,0,0,0,1,28,1
0,0,20,0,1,4,139,139,23,1274736,1
0,1,10,0,1,0,0,0,7,296,2
0,0,4,0,1,0,1,1,27,788,1
0,0,16,0,101,2838,2191,2191,2996,37320539,1
0,1,14,0,3,0,1,1,81,7320,1
0,1,12,0,4,1,3,3,11,81,1
0,0,16,0,1,2,0,0,2,4,1
0,0,5,0,13,1,0,0,70,1609,1
0,6,20,8,12,2,867,867,34,246065,2
0,0,17,0,0,0,0,0,0,244,1
0,0,9,0,0,0,4,4,18,1175,1
0,0,22,0,0,0,4,4,79,432,1
0,4,15,0,15,4,6,6,25,7317,3
0,0,4,0,2,2,4,4,2,99,1
0,0,14,0,1,0,0,0,10,205,1
0,1,21,0,3,0,0,0,11,3619,2
0,0,1,0,0,0,1,1,109,3275,1
0,0,10,0,0,0,0,0,8,276,2
0,0,5,0,5,1,1,1,77,365,1
0,0,19,0,30,41,54,54,36,37588,1
0,1,2,0,29,117,1,1,2,86,1
0,1,17,0,0,1,0,0,2,108,2
0,0,18,0,8393,11,1421,1421,84,6582,2
0,290,18,145,3,4,1005070,1005070,172,305662089,3
0,2,10,0,0,0,0,0,1,89,1
0,2,11,0,1,1,6,6,88,13523,2
0,0,12,0,0,0,0,0,1,43,1
0,0,20,0,0,0,0,0,14,1189,1
0,0,7,0,5,1,1,1,3,100,1
0,2,5,0,0,1,0,0,3,309,2
0,24,8,6,2,4,11096,11096,698,4422539,3
0,0,14,0,3,4,0,0,22,3895,1
0,0,22,0,2,4,39,39,3,2420,1
0,2,2,0,3,0,85,85,578,556214,2
0,0,4,0,0,0,0,0,1,97,1
0,0,6,0,0,0,1,1,5,429,1
0,0,22,0,12,529,7,7,79,7891,2
0,0,17,0,3,1,0,0,104,694,1
0,6,8,1,18,2,152,152,12,268210,3
0,13,3,6,26,5,11016,11016,2256,15327525,3
0,0,18,0,2,0,3606,3606,44549,136934303,1
0,4,8,5,1614,6343,6978,6978,2323,4902902,2
0,0,10,0,0,0,0,0,39,4204,2
0,0,13,0,17,4,2448,2448,5409,3533764,1
0,9,17,13,325,38,3778,3778,136,2421079,3
0,0,12,0,17,1,0,0,14,184,1
0,0,4,0,0,0,1,1,8,723,2
0,0,14,0,0,0,0,0,7,39,1
0,0,16,0,0,0,0,0,1,7,1
0,0,15,0,144,10,1285,1285,9419,8599940,1
0,0,6,1,3,1,15,15,16,4628,1
0,6,7,1,76,0,62,62,125,162975,3
0,4,10,4,0,0,0,0,1,1004,3
0,0,20,0,0,0,9,9,48,11867,1
0,0,5,0,1,0,360,360,476,670351,1
0,2,9,0,0,0,0,0,1,33,1
0,0,21,0,0,0,0,0,1,13,1
0,0,12,0,2,14,3,3,39,7546,1
0,313,3,157,59,0,33057,33057,679,9300446,3
0,24,20,12,103,670,9246,9246,370,3099965,3
0,0,12,0,0,0,7,7,59,5974,2
0,0,5,0,226,1,9598,9598,5865,48331058,1
0,4,18,1,3,0,24497,24497,313655,1660101430,3
0,5,18,0,2,2,2893,2893,1128,17805197,3
0,0,10,0,0,1,1,1,2,8081,2
0,0,5,0,0,62,0,0,3,99,1
0,0,22,0,1,0,0,0,3,27,1
0,2,22,1,27,0,557,557,11,13084,2
0,1,19,0,0,0,0,0,2,42,1
0,0,7,0,0,0,4,4,201,12328,1
0,3,12,1,7,2,0,0,1,124,2
0,93,3,69,83,28,174450,174450,2325,81887527,3
0,3,8,4,48,1,57,57,50,4970,2
0,55,7,18,27,29,14,14,36,29541,3
0,1,20,0,0,1,0,0,3,197,1
0,0,10,0,0,0,0,0,18,110,1
0,1,20,0,25,2,38,38,51,8227,1
0,1,16,3,1,5,17,17,70,5490,2
0,0,12,0,10,9,9,9,21,128006,1
0,0,22,0,0,0,7,7,125,1316,1
